example_id                                    | status | run_time        |
--------------------------------------------- | ------ | --------------- |
./spec/features/authentication_spec.rb[1:1:1] | failed | 0.04066 seconds |
./spec/features/authentication_spec.rb[1:1:2] | passed | 0.01195 seconds |
./spec/features/authentication_spec.rb[1:1:3] | passed | 0.01312 seconds |
./spec/features/authentication_spec.rb[1:1:4] | passed | 0.01485 seconds |
./spec/features/authentication_spec.rb[1:2:1] | failed | 0.00361 seconds |
./spec/features/authentication_spec.rb[1:2:2] | failed | 0.01804 seconds |
./spec/features/authentication_spec.rb[1:2:3] | passed | 0.01856 seconds |
./spec/features/authentication_spec.rb[1:3:1] | passed | 1.42 seconds    |
./spec/features/authentication_spec.rb[1:4:1] | failed | 0.00032 seconds |
./spec/features/authentication_spec.rb[1:4:2] | passed | 0.02573 seconds |
./spec/features/dashboard_spec.rb[1:1:1]      | passed | 0.02485 seconds |
./spec/features/dashboard_spec.rb[1:1:2]      | passed | 0.02281 seconds |
./spec/features/dashboard_spec.rb[1:1:3]      | passed | 0.03474 seconds |
./spec/features/dashboard_spec.rb[1:1:4]      | passed | 0.03305 seconds |
./spec/features/dashboard_spec.rb[1:1:5]      | passed | 0.03233 seconds |
./spec/features/dashboard_spec.rb[1:2:1]      | passed | 0.03162 seconds |
./spec/features/dashboard_spec.rb[1:2:2]      | passed | 0.03878 seconds |
./spec/features/dashboard_spec.rb[1:2:3]      | passed | 0.02308 seconds |
./spec/features/dashboard_spec.rb[1:2:4]      | failed | 0.02529 seconds |
./spec/features/dashboard_spec.rb[1:3:1]      | passed | 0.02225 seconds |
./spec/features/dashboard_spec.rb[1:3:2]      | passed | 0.02172 seconds |
./spec/features/dashboard_spec.rb[1:4:1]      | passed | 0.03113 seconds |
./spec/features/transactions_spec.rb[1:1:1]   | passed | 0.02653 seconds |
./spec/features/transactions_spec.rb[1:1:2]   | passed | 0.03274 seconds |
./spec/features/transactions_spec.rb[1:1:3]   | failed | 0.02826 seconds |
./spec/features/transactions_spec.rb[1:1:4]   | passed | 0.04069 seconds |
./spec/features/transactions_spec.rb[1:2:1]   | failed | 0.0325 seconds  |
./spec/features/transactions_spec.rb[1:2:2]   | passed | 0.03182 seconds |
./spec/features/transactions_spec.rb[1:2:3]   | passed | 0.03335 seconds |
./spec/features/transactions_spec.rb[1:2:4]   | passed | 0.03346 seconds |
./spec/features/transactions_spec.rb[1:2:5]   | failed | 0.02697 seconds |
./spec/features/transactions_spec.rb[1:3:1]   | passed | 0.02833 seconds |
./spec/features/transactions_spec.rb[1:3:2]   | failed | 0.02272 seconds |
./spec/features/transactions_spec.rb[1:4:1]   | passed | 0.03277 seconds |
./spec/features/transactions_spec.rb[1:4:2]   | failed | 0.02542 seconds |
./spec/features/transactions_spec.rb[1:5:1]   | passed | 0.02098 seconds |
./spec/features/transactions_spec.rb[1:5:2]   | failed | 0.02942 seconds |
./spec/models/transaction_spec.rb[1:1:1]      | passed | 0.00107 seconds |
./spec/models/transaction_spec.rb[1:1:2]      | failed | 0.00119 seconds |
./spec/models/transaction_spec.rb[1:1:3]      | failed | 0.0012 seconds  |
./spec/models/transaction_spec.rb[1:1:4]      | failed | 0.00115 seconds |
./spec/models/transaction_spec.rb[1:1:5]      | passed | 0.00122 seconds |
./spec/models/transaction_spec.rb[1:1:6]      | failed | 0.0036 seconds  |
./spec/models/transaction_spec.rb[1:2:1]      | passed | 0.00116 seconds |
./spec/models/transaction_spec.rb[1:2:2]      | passed | 0.00135 seconds |
./spec/models/transaction_spec.rb[1:2:3]      | passed | 0.00126 seconds |
./spec/models/transaction_spec.rb[1:3:1]      | passed | 0.0331 seconds  |
./spec/models/transaction_spec.rb[1:4:1]      | passed | 0.00922 seconds |
./spec/models/transaction_spec.rb[1:4:2]      | passed | 0.00767 seconds |
./spec/models/transaction_spec.rb[1:4:3]      | passed | 0.01324 seconds |
./spec/models/transaction_spec.rb[1:5:1]      | passed | 0.00486 seconds |
./spec/models/transaction_spec.rb[1:5:2]      | passed | 0.00965 seconds |
./spec/models/user_spec.rb[1:1:1]             | passed | 0.00156 seconds |
./spec/models/user_spec.rb[1:1:2]             | passed | 0.00108 seconds |
./spec/models/user_spec.rb[1:1:3]             | passed | 0.00214 seconds |
./spec/models/user_spec.rb[1:1:4]             | passed | 0.0018 seconds  |
./spec/models/user_spec.rb[1:1:5]             | passed | 0.00188 seconds |
./spec/models/user_spec.rb[1:1:6]             | passed | 0.00374 seconds |
./spec/models/user_spec.rb[1:1:7]             | passed | 0.00182 seconds |
./spec/models/user_spec.rb[1:2:1]             | failed | 0.00521 seconds |
./spec/models/user_spec.rb[1:2:2]             | passed | 0.00738 seconds |
./spec/models/user_spec.rb[1:3:1]             | passed | 0.0025 seconds  |
./spec/models/user_spec.rb[1:4:1]             | passed | 0.00098 seconds |
./spec/models/user_spec.rb[1:4:2]             | passed | 0.00123 seconds |
./spec/models/user_spec.rb[1:4:3]             | passed | 0.00147 seconds |
./spec/models/user_spec.rb[1:4:4]             | passed | 0.00096 seconds |
./spec/requests/dashboard_spec.rb[1:1:1:1]    | failed | 0.00255 seconds |
./spec/requests/dashboard_spec.rb[1:1:1:2]    | failed | 0.00262 seconds |
./spec/requests/dashboard_spec.rb[1:1:1:3]    | failed | 0.04925 seconds |
./spec/requests/dashboard_spec.rb[1:1:1:4]    | failed | 0.00264 seconds |
./spec/requests/dashboard_spec.rb[1:1:1:5]    | failed | 0.00246 seconds |
./spec/requests/dashboard_spec.rb[1:1:2:1]    | failed | 0.0029 seconds  |
./spec/requests/dashboard_spec.rb[1:2:1:1]    | failed | 0.00249 seconds |
./spec/requests/dashboard_spec.rb[1:2:1:2]    | failed | 0.00277 seconds |
./spec/requests/dashboard_spec.rb[1:2:1:3]    | failed | 0.00247 seconds |
./spec/requests/dashboard_spec.rb[1:2:1:4]    | failed | 0.00278 seconds |
./spec/requests/dashboard_spec.rb[1:2:1:5]    | failed | 0.00254 seconds |
./spec/requests/dashboard_spec.rb[1:2:1:6]    | failed | 0.00256 seconds |
./spec/requests/dashboard_spec.rb[1:2:2:1]    | passed | 0.00255 seconds |
./spec/requests/dashboard_spec.rb[1:3:1]      | passed | 0.00263 seconds |
